fold,train_size,test_size,xgb_acc,xgb_logloss,lgb_acc,lgb_logloss
1,53115,53114,0.5227435327785518,0.6957021740337271,0.5219904356666792,0.6956487587770204
2,106229,53114,0.5179801935459577,0.6939171294578149,0.5165869638889935,0.6936457861186689
3,159343,53114,0.516737583311368,0.6937246570357342,0.5134239560191287,0.6938825534993904
4,212457,53114,0.5130097526075987,0.6936128860201142,0.5114659035282599,0.6937756156867757
5,265571,53114,0.5197311443310615,0.6917972020313257,0.5233836653236434,0.6917120944235858
