fold,train_size,test_size,xgb_acc,lgb_acc
1,20824,20824,0.5116692278140607,0.5157990779869381
2,41648,20824,0.5154149058778332,0.5212255090280445
3,62472,20824,0.5165194006915098,0.5169515943142527
4,83296,20824,0.5163753361505955,0.5143104110641568
5,104120,20824,0.5181041106415675,0.5210814444871302
