conditionId,question,first_side,time_gap_sec,n_buys,n_yes_buys,n_no_buys,side_switches,switch_rate
0xf72423da2acc91005acbfe521d4ff030f8f4d2574d638c8bf62bbc953212a7a5,"Ethereum Up or Down - February 12, 11:15PM-11:30PM ET",Yes,154,20,9,11,5,0.2631578947368421
0xf7a2fbf9cd8e750086069f31827a4f601f10d3a4522d56c70f92acab813cad41,"Solana Up or Down - February 13, 3AM ET",Yes,4,16,7,9,3,0.2
0xf89c41e9f05f20ff5306ea62480a106c89442bde40eca2507df7b72505374391,"Bitcoin Up or Down - February 13, 3:05AM-3:10AM ET",Yes,30,10,7,3,3,0.3333333333333333
0xfa75b0896310f9f9fdd48c01241a236e996453ffeebdb5f8d8938342a9be8f4a,"Bitcoin Up or Down - February 12, 9:00PM-9:15PM ET",No,20,25,10,15,10,0.4166666666666667
0xfb1f2e26eba99fb4f059276c905d195df06f763543897fe01fe6f77ab403d618,"Bitcoin Up or Down - February 12, 10:35PM-10:40PM ET",Yes,104,12,5,7,1,0.09090909090909091
0xfb79e7dea0f13ee58f7b0c1cf36977d63598b10eb14fe7d4ddffb64e2b2d4e23,"Bitcoin Up or Down - February 12, 8:20PM-8:25PM ET",Yes,66,12,7,5,2,0.18181818181818182
0xfba4e08d2dcbcd6809aa9cd72c0089a8135a615a291e53c667f5cb778727e2af,"Solana Up or Down - February 12, 11PM ET",Yes,38,14,9,5,4,0.3076923076923077
0xfc14521fdd04bf4647a906cd4ac839a16509ad7a58c33becf602c6b7ed1fb99d,"Bitcoin Up or Down - February 12, 10:15PM-10:20PM ET",Yes,36,31,15,16,6,0.2
0xfcdf3e563a6d8da0f629ff055efb7dd938c3304eba289a65a0c5822ad990411a,"Bitcoin Up or Down - February 13, 2:20AM-2:25AM ET",No,76,16,4,12,2,0.13333333333333333
0xfeb804da3b1e167beb8ad990c05506cb5f6cbfa3235f58312c88096e81fc2562,"Bitcoin Up or Down - February 13, 12:30AM-12:45AM ET",Yes,48,11,4,7,3,0.3
