conditionId,question,slug,category,settled,winner,both_sides,buy_yes_cost,buy_no_cost,buy_yes_size,buy_no_size,net_yes,net_no,avg_p_yes,avg_p_no,combined_price,hedged_size,arb_per_unit,directional_side,directional_size,directional_price,sell_revenue,pnl_arb,pnl_direction,pnl_residual,pnl_total
0x007d4b0cb9d1852c60546d5a2bf4771a54602335685f377f215194f223ccde4a,"Bitcoin Up or Down - February 12, 9:10PM-9:15PM ET",btc-updown-5m-1770948600,crypto,False,,True,88.88,148.13,202.0,258.58,202.0,258.58,0.44,0.5729,1.0129,202.0,-0.0129,no,56.58,0.5729,0,-2.6,,,
0xfa75b0896310f9f9fdd48c01241a236e996453ffeebdb5f8d8938342a9be8f4a,"Bitcoin Up or Down - February 12, 9:00PM-9:15PM ET",btc-updown-15m-1770948000,crypto,False,,True,977.74,699.61,1628.68,1592.05,1495.89,485.81,0.6003,0.4394,1.0398,485.81,-0.0398,yes,1010.08,0.6003,533.39,-19.32,,,
0xc552665f6a692b1abfe999a974226c6d9df066774bdfc72957d0b67d41d218fd,"Ethereum Up or Down - February 12, 9:00PM-9:15PM ET",eth-updown-15m-1770948000,crypto,False,,True,488.3,260.9,759.9,558.62,740.83,409.85,0.6426,0.467,1.1096,409.85,-0.1096,yes,330.98,0.6426,66.36,-44.93,,,
0x467beb59ae402b3a7dd6a6758a4f00e8a3e05125a2f2a4a1c6e1f727ec01d499,"Bitcoin Up or Down - February 12, 9:05PM-9:10PM ET",btc-updown-5m-1770948300,crypto,False,,True,92.74,390.37,180.28,677.88,144.84,419.58,0.5144,0.5759,1.0903,144.84,-0.0903,no,274.74,0.5759,120.28,-13.07,,,
0xd49511dad85d1b592f80c4d8de3a010d3800a6f24ab3ca46d4af5ece3b5b0d59,"Bitcoin Up or Down - February 12, 9:00PM-9:05PM ET",btc-updown-5m-1770948000,crypto,False,,True,371.86,478.61,606.0,928.62,202.0,782.85,0.6136,0.5154,1.129,202.0,-0.129,no,580.85,0.5154,241.15,-26.06,,,
0xef516d6f1159cd32cb1d088c80e5e68f6d10921fca29f3699ef3ba74f51e4bd6,"Bitcoin Up or Down - February 12, 8:55PM-9:00PM ET",btc-updown-5m-1770947700,crypto,False,,False,0,934.14,0,1508.68,0,1508.68,0,0.6192,,0,,no,1508.68,0.6192,0,0,,,
0x2bdc46200e7647595d2e8d85c80887d1a29f7dc0db52aa7da165c772a413fd3e,"Bitcoin Up or Down - February 12, 8:45PM-9:00PM ET",btc-updown-15m-1770947100,crypto,False,,True,2301.0,730.95,3505.87,2894.86,1983.18,2202.86,0.6563,0.2525,0.9088,1983.18,0.0912,no,219.68,0.2525,824.65,180.81,,,
0x7fce2da3f9ae66fef6785f0dd788b83ebdcd1a909bc29df50e2cfe4889d5e546,"Ethereum Up or Down - February 12, 8:45PM-9:00PM ET",eth-updown-15m-1770947100,crypto,False,,True,540.22,306.94,888.65,599.06,858.98,599.06,0.6079,0.5124,1.1203,599.06,-0.1203,yes,259.92,0.6079,13.35,-72.06,,,
0x75419f59c419b98b5926881eb099c4aa55ca968cad5101db096e7176c44f2714,"Bitcoin Up or Down - February 12, 8:50PM-8:55PM ET",btc-updown-5m-1770947400,crypto,False,,True,93.14,63.2,181.48,106.0,181.48,106.0,0.5132,0.5962,1.1094,106.0,-0.1094,yes,75.48,0.5132,0,-11.6,,,
0x021a507688edbab1e3a0a0bd287ae29517b321f7d95fc88fae6a2427bb0604f0,"Bitcoin Up or Down - February 12, 8:45PM-8:50PM ET",btc-updown-5m-1770947100,crypto,False,,True,653.7,23.36,915.04,168.0,915.04,168.0,0.7144,0.139,0.8534,168.0,0.1466,yes,747.04,0.7144,0,24.63,,,
