window_ts,ret_5m,target,obi_10s,obi_30s,obi_60s,tfi_10s,tfi_30s,tfi_60s,tfi_300s,mom_10s,mom_30s,mom_60s,mom_300s,vsur_10s,vsur_30s,vsur_60s,sprd_ratio,sprd_chg_10s,sprd_chg_30s,micro_price,obi,spread,mid
1770885300000,0.0001261600095614602,1,0.2739015858540128,0.2739015858540128,0.2739015858540128,-0.7571895543271122,-0.7571895543271122,-0.7571895543271122,-0.7571895543271122,,,,,,,,,,,66978.54540798982,0.5177794536642907,0.010000000009313226,66978.543
1770885600000,-0.0002395887313881601,0,0.8071653543471644,0.3705263669401034,0.008800318577805524,-0.3776288022259821,-0.3159191071145204,-0.31763036680706275,-0.09787067649681887,8.985294573027325e-05,0.00017425191316866595,-8.000715729228336e-05,,3.5380588243488837,1.3163779132013331,0.8768121070469268,0.9999999999970001,-2.9103830456733704e-10,2.9103830456733704e-10,66983.67930088344,0.7957206154219196,0.009999999997671694,66983.675
1770885900000,0.0003378753404229124,1,-0.011410102080419999,0.06769732142421145,-0.08599989179040185,-0.6834219962004913,-0.6311629247042081,-0.5874253729527641,0.03392021044324405,-0.0005820562211156233,-0.0005820562211156233,-0.000578085995580957,-0.0001382094898611852,3.649900143208657,1.3504732752565414,0.7144154488495811,1.0000000003376044,8.731149137020111e-10,8.731149137020111e-10,66975.13909567666,-0.051554669145218154,0.01000000000349246,66975.139
1770886200000,0.00152552250190476,1,-0.855055701570816,-0.6053623966584565,-0.528645802768506,0.6844467011427674,-0.7324984010645206,-0.7550454258794133,-0.410400584237809,0.0,-8.835040906485236e-05,-0.00022439550782475947,0.00037112352003179085,0.18149254132775877,1.2013932204621791,1.306123688248046,0.9999999995692633,0.0,0.0,66999.99089927305,-0.8288486811405393,0.00999999999476131,66999.995
1770886500000,0.00041571525859007686,1,0.543691810088221,0.13586665813978632,-0.2145873870958967,0.5781482623386769,0.26004937265135225,0.3828866079400293,0.17355129733846658,-6.765256086627147e-06,-4.081326361871085e-06,0.00015320002130896347,0.0014796120507174493,0.8597957120704155,0.47969358726079825,0.3336905438015853,1.00000000030365,5.820766091346741e-10,5.820766091346741e-10,67099.1260648001,-0.533050178739728,0.010000000000582076,67099.129
1770886800000,-0.0002582619048274573,0,0.08069268926947344,-0.43208783239108933,-0.25068412997786715,0.8248945527731818,0.7217007672654072,0.21254673936719648,0.2890326339083069,0.0001565604138853427,0.0001565604138853427,0.00018367901151901124,0.0005838365983931836,0.6897879410711981,0.349078340304981,0.515752977498704,0.9999999995828451,0.0,0.0,67141.14665222297,0.2907971642974078,0.00999999999476131,67141.14499999999
1770887100000,-0.0006642122994149516,0,-0.03294752415152487,0.053592670382318484,0.2558744484061802,0.03252138965411876,0.09911242288517995,-0.04534106465834392,0.010434251383824452,0.0001235009434260359,0.0003870854751653052,0.0007079216782767794,-0.00035820062347746706,2.1616996655705947,0.9005311136976356,0.9691612586513386,0.8620689663355343,0.0,0.0,67117.09363473413,-0.4279462495452179,0.010000000009313226,67117.095
1770887400000,0.0017193331724625568,1,-0.7399873162209761,-0.41010192905542775,-0.38977466096680585,0.020279791434146023,-0.4461774807153077,-0.4413033882096126,-0.36665889001422025,-1.7652146707458627e-05,0.00020325419964839497,3.578816265621398e-05,-0.0006642122994149346,0.7792886187106669,1.914287666659727,1.3957561626056143,1.0000000008100565,1.1641532182693481e-09,1.4551915228366852e-09,67072.51391547258,-0.3199533109484963,0.010000000009313226,67072.515
1770887700000,0.000636414001375994,1,0.2970775885429888,0.2290553024880794,0.06377742418368601,-0.2045769141545298,-0.06433569883413708,0.374965937364637,0.07323656802047976,4.9400926389475684e-05,-0.00012666672111589784,0.0002654754280398297,0.0016648991920472423,0.7261547962723058,0.28954690839839886,0.4705630237448952,0.6249999997082037,-1.1641532182693481e-09,0.0,67170.35362263929,-0.6032307866269452,0.00999999999476131,67170.35500000001
1770888000000,0.0009304517102033253,1,-0.6454877058125632,-0.09545116533987832,-0.28068044986261587,-0.37319694350337174,-0.7021756109114753,-0.6135570595668642,0.07885919351704032,-7.283724809998837e-05,-2.8653620686025504e-05,-0.00017968080713437473,0.0006417133591896107,0.28641289654842905,0.9599698828317965,0.5572551097727693,1.000000000926472,1.1641532182693481e-09,2.9103830456733704e-10,67213.45421397251,-0.9855971636398986,0.010000000006402842,67213.459
