conditionId,question,coin,window_type,first_trade_ts,bn_price,cl_price,spread_abs,spread_pct,spread_direction,direction_bias,bias_label,mom_1m_pct
0xa850a7e4892fe623c725010071d942c6112d0c761d5dbf260d7d692e651ee058,"Bitcoin Up or Down - February 12, 10:45PM-11:00PM ET",BTCUSDT,5min,1770954311,66671.435,66653.6293,17.8057,0.026707,BN>CL,-0.3729,Down偏重,-0.0557
0xe832f0df23b14a466b73396d9f184355ff7bf6c139927ba2e8b27e808f5ba67d,"Bitcoin Up or Down - February 12, 10:50PM-10:55PM ET",BTCUSDT,5min,1770954609,66542.165,66653.6293,-111.4643,-0.167509,BN<CL,-0.515,Down偏重,-0.0447
0x69dbfb5b506bbc7a513c1d564e0f736ec1217c41359e26e2d6b138121d79b2a7,"Solana Up or Down - February 12, 10PM ET",SOLUSDT,1hour,1770951609,78.665,79.1311,-0.4661,-0.592449,BN<CL,0.2071,Up偏重,0.0
0x8d2ae6db2f50ff40f6600041e5e69261836acdc5e275788272878d073d21e5aa,"Ethereum Up or Down - February 12, 10PM ET",ETHUSDT,1hour,1770951609,1945.345,1947.8506,-2.5056,-0.128798,BN<CL,-0.4504,Down偏重,0.0
0x591e7f839606e9611f90723f9055eaca52026665696c2fb1d458afa208c1f6a6,"Bitcoin Up or Down - February 12, 10PM ET",BTCUSDT,1hour,1770951609,66531.745,66600.0,-68.255,-0.10259,BN<CL,0.1684,Up偏重,0.0
0x4923a55682907be7bbb276eaa038b4c5f731fbafa52376bdf7ac7b2d52e3e6b5,"Bitcoin Up or Down - February 12, 10:45PM-10:50PM ET",BTCUSDT,5min,1770954307,66671.435,66653.6293,17.8057,0.026707,BN>CL,-0.0711,均衡,-0.0609
0x1ecad00d1aa394f2ac5175135a8c27b36990006f576d3f5c0b8a799129c8bdd8,"Bitcoin Up or Down - February 12, 10:40PM-10:45PM ET",BTCUSDT,5min,1770954005,66693.705,66588.942,104.763,0.157081,BN>CL,0.125,Up偏重,0.0346
0x479e8d56aa08988c6f1b88d01160625ac342a08552145cd672efd33a61091f7e,"Bitcoin Up or Down - February 12, 10:30PM-10:45PM ET",BTCUSDT,5min,1770953407,66531.745,66503.9425,27.8025,0.041788,BN>CL,0.0916,均衡,0.0
0x30359b5c63c59638577c91ce584bf39cfa41619e930c67c56e7fbe1039a174f9,"Ethereum Up or Down - February 12, 10:30PM-10:45PM ET",ETHUSDT,5min,1770953405,1945.345,1945.5517,-0.2067,-0.010625,BN<CL,0.3067,Up偏重,0.0
0xfb1f2e26eba99fb4f059276c905d195df06f763543897fe01fe6f77ab403d618,"Bitcoin Up or Down - February 12, 10:35PM-10:40PM ET",BTCUSDT,5min,1770953711,66673.095,66680.63,-7.535,-0.011301,BN<CL,-0.2449,Down偏重,-0.0763
0x9928c77bfd0f96e0b0761c8161fafcc85b67aee5c5ec92347df65a6635cb4a1a,"Bitcoin Up or Down - February 12, 10:30PM-10:35PM ET",BTCUSDT,5min,1770953405,66531.745,66503.9425,27.8025,0.041788,BN>CL,0.7326,Up偏重,0.0
0xed86e2c42425345ee4581bb667b3c8b2f4c83ba27b604381ff1bd0776bbcd6f9,"Bitcoin Up or Down - February 12, 10:15PM-10:30PM ET",BTCUSDT,5min,1770952513,66531.745,66503.9425,27.8025,0.041788,BN>CL,0.8439,Up偏重,0.0
0x9af927eb92dc7de0d62b0d16893c817fd06a570791ede44ed48dc8bc4aa44156,"Bitcoin Up or Down - February 12, 10:25PM-10:30PM ET",BTCUSDT,5min,1770953105,66531.745,66503.9425,27.8025,0.041788,BN>CL,0.6416,Up偏重,0.0
0xc86c42ec56f390a453d1c320d709fc69c6dcdaa79d45ae35a652028b3c88523f,"Ethereum Up or Down - February 12, 10:15PM-10:30PM ET",ETHUSDT,5min,1770952507,1945.345,1945.5517,-0.2067,-0.010625,BN<CL,0.2636,Up偏重,0.0
0x440c9b41d52dc939b64d8e53950309d37773bfea69f173ab41b8167b4f0f7a73,"Bitcoin Up or Down - February 12, 10:20PM-10:25PM ET",BTCUSDT,5min,1770952823,66531.745,66503.9425,27.8025,0.041788,BN>CL,-0.9715,Down偏重,0.0
0xfc14521fdd04bf4647a906cd4ac839a16509ad7a58c33becf602c6b7ed1fb99d,"Bitcoin Up or Down - February 12, 10:15PM-10:20PM ET",BTCUSDT,5min,1770952507,66531.745,66503.9425,27.8025,0.041788,BN>CL,0.0326,均衡,0.0
0x554301a06e6201194af91cda3f9f528452550e629c33defda78ac48acae78157,"Bitcoin Up or Down - February 12, 10:10PM-10:15PM ET",BTCUSDT,5min,1770952205,66531.745,66513.03,18.715,0.028129,BN>CL,0.501,Up偏重,0.0
