conditionId,question,coin,window_type,window_start_ts,first_trade_ts,entry_delay_sec,direction_bias,bias_label,mom_1m_pct,mom_5m_pct,mom_15m_pct,bn_price_at_entry,buy_yes_cost,buy_no_cost
0x06cf51eb4111f84cbdca48c989bfd126028d74ea1d0e5b17429cea07adc4a154,"Bitcoin Up or Down - February 12, 11:15PM-11:30PM ET",BTCUSDT,5min,1770956100.0,1770956243,143.0,0.5817,Up偏重,0.066,0.1322,-0.0125,66587.92,904.95,239.35
0xf72423da2acc91005acbfe521d4ff030f8f4d2574d638c8bf62bbc953212a7a5,"Ethereum Up or Down - February 12, 11:15PM-11:30PM ET",ETHUSDT,5min,1770956100.0,1770956151,51.0,0.113,Up偏重,0.0871,0.1416,-0.0752,1952.53,432.71,344.84
0x6ee1fe6b274744cdc8e7394dbf93091504df010010bcbc7e646b3ad98d0ae987,"Bitcoin Up or Down - February 12, 11:20PM-11:25PM ET",BTCUSDT,5min,1770956400.0,1770956417,17.0,-1.0,Down偏重,-0.0282,0.1796,0.2249,66623.48,0.0,485.34
0xcd9f2af3be06c3d7d4c156dda01a3e4223e4a62d707b037f9db2a1248c2d2130,"Bitcoin Up or Down - February 12, 11:15PM-11:20PM ET",BTCUSDT,5min,1770956100.0,1770956107,7.0,-1.0,Down偏重,0.0397,0.0517,-0.0691,66519.99,0.0,181.07
0x6641f2f608df819c1934868d1d29aa22ec4cbb29e0e0adfc5e3822b75f951921,"Bitcoin Up or Down - February 12, 11:10PM-11:15PM ET",BTCUSDT,5min,1770955800.0,1770955805,5.0,-1.0,Down偏重,0.0691,0.0375,-0.0259,66496.04,0.0,161.03
0x7f44767740d816c5ce81cd79b6a76c6b7138fdfc713fb8e4aaed810029dae194,"Ethereum Up or Down - February 12, 11:00PM-11:15PM ET",ETHUSDT,5min,1770955200.0,1770955211,11.0,0.2727,Up偏重,0.0707,0.1045,-0.0512,1953.93,231.64,132.38
0xf5e7d15eb4d7593a2a5d10f5425f7e4e343b7e3c37e80cc20500e358aced1093,"Bitcoin Up or Down - February 12, 11:00PM-11:15PM ET",BTCUSDT,5min,1770955200.0,1770955491,291.0,0.0936,均衡,-0.006,-0.0571,-0.0992,66496.01,767.49,636.11
0x03a51e76fa4244afa81783c95342ecc454adba295e3cc0cd6ee1682a984ed4a0,"Bitcoin Up or Down - February 12, 11:05PM-11:10PM ET",BTCUSDT,5min,1770955500.0,1770955507,7.0,-0.1475,Down偏重,-0.0665,-0.1618,-0.1237,66458.27,188.61,253.85
0x58bc5fde1b370e2474e3505910e35b109ffd17ac7256fc32b60c6d1ff47602f0,"Bitcoin Up or Down - February 12, 11:00PM-11:05PM ET",BTCUSDT,5min,1770955200.0,1770955227,27.0,-1.0,Down偏重,0.1034,0.092,-0.1815,66558.01,0.0,55.46
0x037d52fc1bb3a7ec55817a69c2890a014c1c996de9b88c2b117621a69fecea5f,"Ethereum Up or Down - February 12, 10:45PM-11:00PM ET",ETHUSDT,5min,1770954300.0,1770954307,7.0,0.0265,均衡,-0.0358,0.0292,0.4961,1954.99,393.0,372.7
0x75e80c74c16c4c08982299a5be800fe7161a14ba70e3c3e51da8f551e17b46d2,"Bitcoin Up or Down - February 12, 10:55PM-11:00PM ET",BTCUSDT,5min,1770954900.0,1770954907,7.0,-0.8671,Down偏重,0.0664,-0.0265,-0.2531,66522.95,32.18,452.05
0xa850a7e4892fe623c725010071d942c6112d0c761d5dbf260d7d692e651ee058,"Bitcoin Up or Down - February 12, 10:45PM-11:00PM ET",BTCUSDT,5min,1770954300.0,1770954311,11.0,-0.3729,Down偏重,-0.0557,-0.0011,0.21,66671.43,504.38,1104.11
0xe832f0df23b14a466b73396d9f184355ff7bf6c139927ba2e8b27e808f5ba67d,"Bitcoin Up or Down - February 12, 10:50PM-10:55PM ET",BTCUSDT,5min,1770954600.0,1770954609,9.0,-0.515,Down偏重,-0.0447,-0.1939,-0.1999,66542.17,172.23,537.94
0x69dbfb5b506bbc7a513c1d564e0f736ec1217c41359e26e2d6b138121d79b2a7,"Solana Up or Down - February 12, 10PM ET",SOLUSDT,1hour,,1770951609,,0.2071,Up偏重,0.0,0.0,0.0,78.66,764.49,502.12
0x8d2ae6db2f50ff40f6600041e5e69261836acdc5e275788272878d073d21e5aa,"Ethereum Up or Down - February 12, 10PM ET",ETHUSDT,1hour,,1770951609,,-0.4504,Down偏重,0.0,0.0,0.0,1945.34,185.0,488.22
0x591e7f839606e9611f90723f9055eaca52026665696c2fb1d458afa208c1f6a6,"Bitcoin Up or Down - February 12, 10PM ET",BTCUSDT,1hour,,1770951609,,0.1684,Up偏重,0.0,0.0,0.0,66531.74,2002.58,1425.43
0x4923a55682907be7bbb276eaa038b4c5f731fbafa52376bdf7ac7b2d52e3e6b5,"Bitcoin Up or Down - February 12, 10:45PM-10:50PM ET",BTCUSDT,5min,1770954300.0,1770954307,7.0,-0.0711,均衡,-0.0609,-0.0304,0.21,66671.43,252.47,291.14
0x1ecad00d1aa394f2ac5175135a8c27b36990006f576d3f5c0b8a799129c8bdd8,"Bitcoin Up or Down - February 12, 10:40PM-10:45PM ET",BTCUSDT,5min,1770954000.0,1770954005,5.0,0.125,Up偏重,0.0346,0.0603,0.2434,66693.71,357.66,278.16
0x479e8d56aa08988c6f1b88d01160625ac342a08552145cd672efd33a61091f7e,"Bitcoin Up or Down - February 12, 10:30PM-10:45PM ET",BTCUSDT,5min,1770953400.0,1770953407,7.0,0.0916,均衡,0.0,0.0,0.0,66531.74,1889.76,1572.64
0x30359b5c63c59638577c91ce584bf39cfa41619e930c67c56e7fbe1039a174f9,"Ethereum Up or Down - February 12, 10:30PM-10:45PM ET",ETHUSDT,5min,1770953400.0,1770953405,5.0,0.3067,Up偏重,0.0,0.0,0.0,1945.34,1678.41,890.6
0xfb1f2e26eba99fb4f059276c905d195df06f763543897fe01fe6f77ab403d618,"Bitcoin Up or Down - February 12, 10:35PM-10:40PM ET",BTCUSDT,5min,1770953700.0,1770953711,11.0,-0.2449,Down偏重,-0.0763,0.2125,0.2125,66673.1,99.88,164.67
0x9928c77bfd0f96e0b0761c8161fafcc85b67aee5c5ec92347df65a6635cb4a1a,"Bitcoin Up or Down - February 12, 10:30PM-10:35PM ET",BTCUSDT,5min,1770953400.0,1770953405,5.0,0.7326,Up偏重,0.0,0.0,0.0,66531.74,655.96,101.26
0xed86e2c42425345ee4581bb667b3c8b2f4c83ba27b604381ff1bd0776bbcd6f9,"Bitcoin Up or Down - February 12, 10:15PM-10:30PM ET",BTCUSDT,5min,1770952500.0,1770952513,13.0,0.8439,Up偏重,0.0,0.0,0.0,66531.74,1246.26,105.51
0x9af927eb92dc7de0d62b0d16893c817fd06a570791ede44ed48dc8bc4aa44156,"Bitcoin Up or Down - February 12, 10:25PM-10:30PM ET",BTCUSDT,5min,1770953100.0,1770953105,5.0,0.6416,Up偏重,0.0,0.0,0.0,66531.74,546.83,119.37
0xc86c42ec56f390a453d1c320d709fc69c6dcdaa79d45ae35a652028b3c88523f,"Ethereum Up or Down - February 12, 10:15PM-10:30PM ET",ETHUSDT,5min,1770952500.0,1770952507,7.0,0.2636,Up偏重,0.0,0.0,0.0,1945.34,124.86,72.76
0x440c9b41d52dc939b64d8e53950309d37773bfea69f173ab41b8167b4f0f7a73,"Bitcoin Up or Down - February 12, 10:20PM-10:25PM ET",BTCUSDT,5min,1770952800.0,1770952823,23.0,-0.9715,Down偏重,0.0,0.0,0.0,66531.74,6.86,474.86
0xfc14521fdd04bf4647a906cd4ac839a16509ad7a58c33becf602c6b7ed1fb99d,"Bitcoin Up or Down - February 12, 10:15PM-10:20PM ET",BTCUSDT,5min,1770952500.0,1770952507,7.0,0.0326,均衡,0.0,0.0,0.0,66531.74,553.62,518.62
0x554301a06e6201194af91cda3f9f528452550e629c33defda78ac48acae78157,"Bitcoin Up or Down - February 12, 10:10PM-10:15PM ET",BTCUSDT,5min,1770952200.0,1770952205,5.0,0.501,Up偏重,0.0,0.0,0.0,66531.74,296.7,98.64
0x1e795d284498751b7977f2db43ae58e60cfb28a65c77e577bbb20d9b815ac6ca,"Ethereum Up or Down - February 12, 10:00PM-10:15PM ET",ETHUSDT,5min,1770951600.0,1770951605,5.0,0.3725,Up偏重,0.0,0.0,0.0,1945.34,433.84,198.33
0xd314dbd001cfaf9203f0fa8411cf9295377c21a7d7e3c4ef2cb08aec54ff7520,"Bitcoin Up or Down - February 12, 10:05PM-10:10PM ET",BTCUSDT,5min,1770951900.0,1770951909,9.0,-0.9895,Down偏重,0.0,0.0,0.0,66531.74,3.03,576.57
0xb7ad240be751fea752ee7fb0f6d246dbbe71c0997bb6c7dc25767b6e47e0c0bc,"Bitcoin Up or Down - February 12, 10:00PM-10:15PM ET",BTCUSDT,5min,1770951600.0,1770951607,7.0,0.4404,Up偏重,0.0,0.0,0.0,66531.74,593.37,230.54
0x0e1b703a170b1f8133e77094884038b25655282aac03cf2c0a699be2e9263533,"Bitcoin Up or Down - February 12, 10:00PM-10:05PM ET",BTCUSDT,5min,1770951600.0,1770951605,5.0,0.0759,均衡,0.0,0.0,0.0,66531.74,124.84,107.22
0xf06d986f674ebe514bb1139a162ef9c0c1dc4ddfa3d05ef57a494e499f8132a3,"Bitcoin Up or Down - February 12, 9:55PM-10:00PM ET",BTCUSDT,5min,1770951300.0,1770951323,23.0,0.7987,Up偏重,0.0,0.0,0.0,66531.74,356.03,39.84
0xb6d9148528fb13725c7525bf1297aff1239f0b1b70b632593a5fea9bae5a6208,"Bitcoin Up or Down - February 12, 9:45PM-10:00PM ET",BTCUSDT,5min,1770950700.0,1770950711,11.0,0.1489,Up偏重,0.0,0.0,-0.0262,66531.74,833.22,617.2
0xa5783cfa595b9985e61db3d5a506257fa60ad7c5cfffeb4c0a3719d07f9da365,"Ethereum Up or Down - February 12, 9:45PM-10:00PM ET",ETHUSDT,5min,1770950700.0,1770950717,17.0,-0.1738,Down偏重,0.0,0.0,-0.0914,1945.34,797.85,1133.52
0x80f517f253e045340a5abb619abe269cea76f164d4767b4f5cbe5ff02ea0f89f,"Bitcoin Up or Down - February 12, 9:50PM-9:55PM ET",BTCUSDT,5min,1770951000.0,1770951007,7.0,0.992,Up偏重,0.0,0.0,0.0,66531.74,252.75,1.01
0xc897aaf02197ed2143086c888bb7d0329017f8ee54db463c82e7e854da3217fa,"Ethereum Up or Down - February 12, 9PM ET",ETHUSDT,1hour,,1770948303,,0.3562,Up偏重,0.0216,-0.153,-0.153,1944.59,823.46,390.93
0x56166e99349f6fc03bd0795b479571e4dd89ad7ba77219004db44241258b872d,"Solana Up or Down - February 12, 9PM ET",SOLUSDT,1hour,,1770948043,,-0.0483,均衡,0.0,0.0,0.0,78.48,636.43,701.08
0x0507338d275158305f42f52e9ab6a6e7095bab8f40d1ad82ec37520367e0884f,"Bitcoin Up or Down - February 12, 9:45PM-9:50PM ET",BTCUSDT,5min,1770950700.0,1770950707,7.0,-0.6746,Down偏重,0.0,0.0,-0.0455,66531.74,134.94,694.33
0xc2e8a403d55434e6c8d1213af10652a52dcac6968f16ec7e34d7e6d65b12ba32,"Bitcoin Up or Down - February 12, 9:40PM-9:45PM ET",BTCUSDT,5min,1770950400.0,1770950443,43.0,-0.2652,Down偏重,0.0,0.0,-0.0301,66531.74,119.59,205.93
0x8d2df65bd55135c16f772132dc4e01b6a7281d19ad6c7851ac244a02047d0b89,"Bitcoin Up or Down - February 12, 9:30PM-9:45PM ET",BTCUSDT,5min,1770949800.0,1770949809,9.0,0.3142,Up偏重,-0.0859,-0.0157,0.0665,66549.17,1070.87,558.8
